date,account_id,account_name,service_name,description,resource_id,region,cost,currency,department,project,environment,cost_center,usage_type,usage_amount,usage_unit
2025-11-19,unknown,,EC2,GB - Asia Pacific (Seoul) data transfer to EU (Germany),,ap-northeast-2,0.0,USD,,smartmobility,prd-smartmobility,,,,
2025-11-19,unknown,,EC2,GB - Asia Pacific (Seoul) data transfer to EU (Germany),,ap-northeast-2,0.0,USD,,smartmobility,dev-smartmobility,,,,
2025-11-19,unknown,,EC2,GB - Asia Pacific (Seoul) data transfer to US West (Northern California),,ap-northeast-2,0.0,USD,,smartmobility,dev-smartmobility,,,,
2025-11-19,unknown,,EC2,GB - Asia Pacific (Seoul) data transfer to US West (Northern California),,ap-northeast-2,0.0,USD,,smartmobility,prd-smartmobility,,,,
2025-11-19,unknown,,EC2,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Sydney),,ap-northeast-2,0.0,USD,,smartmobility,prd-smartmobility,,,,
2025-11-19,unknown,,EC2,GB - Asia Pacific (Seoul) data transfer to US East (Houston),,ap-northeast-2,0.0,USD,,smartmobility,prd-smartmobility,,,,
2025-11-19,unknown,,FSx,GB-Month of provisioned ONTAP Single-AZ SSD storage - Asia Pacific (Seoul),,ap-northeast-2,4.85,USD,,smartmobility,prd-smartmobility,,,,
2025-11-19,unknown,,FSx,GB-Month of provisioned ONTAP Single-AZ SSD storage - Asia Pacific (Seoul),,ap-northeast-2,4.85,USD,,smartmobility,dev-smartmobility,,,,
2025-11-19,unknown,,FSx,MBps-Month of provisioned ONTAP Single-AZ throughput capacity - Asia Pacific (Seoul),,ap-northeast-2,3.47,USD,,smartmobility,prd-smartmobility,,,,
2025-11-19,unknown,,FSx,MBps-Month of provisioned ONTAP Single-AZ throughput capacity - Asia Pacific (Seoul),,ap-northeast-2,3.47,USD,,smartmobility,dev-smartmobility,,,,
2025-11-19,unknown,,FSx,1000 read requests to ONTAP standard capacity pool storage - Asia Pacific (Seoul),,ap-northeast-2,0.0,USD,,smartmobility,dev-smartmobility,,,,
2025-11-19,unknown,,FSx,1000 read requests to ONTAP standard capacity pool storage - Asia Pacific (Seoul),,ap-northeast-2,0.0,USD,,smartmobility,prd-smartmobility,,,,
2025-11-19,unknown,,FSx,GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,,,0.0,USD,,smartmobility,prd-smartmobility,,,,
2025-11-19,unknown,,Elastic Load Balancing,Application LoadBalancer-hour (or partial hour),,,1.62,USD,,smartmobility,prd-smartmobility,,,,
2025-11-19,unknown,,Elastic Load Balancing,Used Application load balancer capacity unit-hour (or partial hour),,,0.0,USD,,smartmobility,prd-smartmobility,,,,
2025-11-19,unknown,,Elastic Load Balancing,GB - Asia Pacific (Seoul) data transfer to US West (Oregon),,ap-northeast-2,0.0,USD,,smartmobility,prd-smartmobility,,,,
2025-11-19,unknown,,Elastic Load Balancing,GB - Asia Pacific (Seoul) data transfer to US East (Northern Virginia),,ap-northeast-2,0.0,USD,,smartmobility,prd-smartmobility,,,,
2025-11-19,unknown,,Elastic Load Balancing,GB - Asia Pacific (Seoul) data transfer to US East (Ohio),,ap-northeast-2,0.0,USD,,smartmobility,prd-smartmobility,,,,
2025-11-19,unknown,,Elastic Load Balancing,GB - Asia Pacific (Seoul) data transfer to EU (Germany),,ap-northeast-2,0.0,USD,,smartmobility,prd-smartmobility,,,,
2025-11-19,unknown,,Elastic Load Balancing,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Tokyo),,ap-northeast-2,0.0,USD,,smartmobility,prd-smartmobility,,,,
2025-11-19,unknown,,Elastic Load Balancing,GB - Asia Pacific (Seoul) data transfer to US West (Northern California),,ap-northeast-2,0.0,USD,,smartmobility,prd-smartmobility,,,,
