Date,Service,Description,Cost,
EC2,,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Jakarta),0.08,
EC2,,GB-Month of snapshot data stored - Asia Pacific (Jakarta),0.03,
EC2,,GB - Asia Pacific (Seoul) data transfer to US East (Ohio),0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to US East (Northern Virginia),0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to US West (Oregon),0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Mumbai),0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to EU (Ireland),0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to US West (Northern California),0.00,
EC2,,GB - Asia Pacific (Jakarta) data transfer To EU (Ireland),0.00,
EC2,,GB - Asia Pacific (Jakarta) data transfer to Asia Pacific (Tokyo),0.00,
EC2,,GB - Asia Pacific (Jakarta) data transfer to US West (Northern California),0.00,
EC2,,GB - Asia Pacific (Jakarta) data transfer to US West (Oregon),0.00,
EC2,,GB - Asia Pacific (Jakarta) data transfer to US East (Ohio),0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Tokyo),0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to EU (Germany),0.00,
EC2,,GB - Asia Pacific (Jakarta) data transfer to US East (Northern Virginia),0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Singapore),0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to US East (Houston),0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Osaka),0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to US West (Las Vegas),0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Sydney),0.00,
EC2,192.71,
FSx,,GB-Month of provisioned ONTAP Single-AZ SSD storage - Asia Pacific (Seoul),9.69,
FSx,,MBps-Month of provisioned ONTAP Single-AZ throughput capacity - Asia Pacific (Seoul),6.94,
FSx,,GB-Month of ONTAP backup storage - Asia Pacific (Seoul),0.06,
FSx,,"1,000 read requests to ONTAP standard capacity pool storage - Asia Pacific (Seoul)",0.00,
FSx,,GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,0.00,
FSx,16.70,
CloudFront,,GB - data transfer out under the global monthly free tier,0.00,
CloudFront,,"10,000 Requests for HTTPS GET and HEAD requests in Asia Pacific",0.00,
CloudFront,,"10,000 Requests for HTTPS GET and HEAD requests in United States",0.00,
CloudFront,,"10,000 Requests for HTTPS GET and HEAD requests in Europe",0.00,
CloudFront,0.00,
VPC,,In-use public IPv4 address per hour,8.16,
VPC,,VPN Connection-Hour,1.00,
VPC,,GB - Asia Pacific (Seoul) data transfer to US East (Northern Virginia),0.00,
VPC,,GB - Asia Pacific (Seoul) data transfer to EU (Ireland),0.00,
VPC,,GB - Asia Pacific (Seoul) data transfer to US East (Ohio),0.00,
VPC,,GB - Asia Pacific (Seoul) data transfer to EU (Germany),0.00,
VPC,,GB - Asia Pacific (Seoul) data transfer to EU (Paris),0.00,
VPC,,GB - Asia Pacific (Seoul) data transfer to EU (London),0.00,
VPC,,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Taipei),0.00,
VPC,,GB for EUN1-AWS-Out-Bytes in EU (Stockholm),0.00,
VPC,9.16,
Key Management Service,,Customer managed KMS key version in Asia Pacific (Seoul),0.03,
Key Management Service,,10000 KMS requests in Asia Pacific (Seoul),0.00,
Key Management Service,,10000 KMS requests in US East (N. Virginia),0.00,
Key Management Service,,10000 KMS requests in Asia Pacific (Singapore),0.00,
Key Management Service,,10000 KMS requests in Asia Pacific (Jakarta),0.00,
Key Management Service,,10000 KMS requests in Asia Pacific (Sydney),0.00,
Key Management Service,,10000 KMS requests in EU (London),0.00,
Key Management Service,,10000 KMS requests in US West (N. California),0.00,
Key Management Service,,10000 KMS requests in Asia Pacific (Mumbai),0.00,
Key Management Service,,10000 KMS requests in South America (Sao Paulo),0.00,
Key Management Service,,10000 KMS requests in US West (Oregon),0.00,
Key Management Service,,10000 KMS requests in EU (Stockholm),0.00,
Key Management Service,,10000 KMS requests in Asia Pacific (Osaka),0.00,
Key Management Service,,10000 KMS requests in EU (Ireland),0.00,
Key Management Service,,10000 KMS requests in Asia Pacific (Tokyo),0.00,
Key Management Service,,10000 KMS requests in EU (Paris),0.00,
Key Management Service,,10000 KMS requests in EU (Frankfurt),0.00,
Key Management Service,,10000 KMS requests in US East (Ohio),0.00,
Key Management Service,,10000 KMS requests in Canada (Central),0.00,
Key Management Service,0.03,
SWF,,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
SWF,,GB for DataTransfer-Out-Bytes in EU (Stockholm),0.00,
SWF,0.00,
SimpleDB,,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
SimpleDB,0.00,
CloudWatch,,"1,000 metrics requested using GetMetricData API - Asia Pacific (Seoul)",2.22,
CloudWatch,,"1,000 requests",0.16,
CloudWatch,,"Metric-month for the next 240,000 metrics - Asia Pacific (Seoul)",0.14,
CloudWatch,,Thousand Requests for CloudWatch API in US West (N. California),0.00,
CloudWatch,,GB-mo of log storage - Asia Pacific (Seoul),0.00,
CloudWatch,2.53,
Events,,Million EventBridge custom events received in Asia Pacific (Seoul),0.00,
Events,0.00,
Glacier,,GB - South America (Sao Paulo) data transfer to Asia Pacific (Sydney),0.00,
Glacier,,GB - Asia Pacific (Osaka) data transfer to Asia Pacific (Sydney),0.00,
Glacier,,GB - Asia Pacific (Tokyo) data transfer to Asia Pacific (Sydney),0.00,
Glacier,,GB - Asia Pacific (Singapore) data transfer to Asia Pacific (Sydney),0.00,
Glacier,,GB - Asia Pacific (Mumbai) data transfer to Asia Pacific (Sydney),0.00,
Glacier,,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Sydney),0.00,
Glacier,,GB - Canada (Central) data transfer to Asia Pacific (Sydney),0.00,
Glacier,,GB - US West (Northern California) data transfer to Asia Pacific (Sydney),0.00,
Glacier,,GB - US West (Oregon) data transfer to Asia Pacific (Sydney),0.00,
Glacier,,GB - EU (Germany) data transfer to Asia Pacific (Sydney),0.00,
Glacier,,GB - EU (London) data transfer to Asia Pacific (Sydney),0.00,
Glacier,,GB - US East (Northern Virginia) data transfer to Asia Pacific (Sydney),0.00,
Glacier,,GB for APS2-AWS-Out-Bytes in EU (Stockholm),0.00,
Glacier,,GB - EU (Ireland) data transfer to Asia Pacific (Sydney),0.00,
Glacier,,GB - US East (Ohio) data transfer to Asia Pacific (Sydney),0.00,
Glacier,,GB - EU (Paris) data transfer to Asia Pacific (Sydney),0.00,
Glacier,0.00,
S3,,GB - first 50 TB / month of storage used,0.63,
S3,,"1,000 PUT, COPY, POST, or LIST requests",0.00,
S3,,"10,000 GET and all other requests",0.00,
S3,,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
S3,0.63,
Elastic File System,,USD GB-Mo for Standard storage (APN2),0.00,
Elastic File System,0.00,
Web Application Firewall,,Web ACL created (prorated hourly),0.33,
Web Application Firewall,,Rule created (prorated hourly),0.20,
Web Application Firewall,,Million requests processed,0.00,
Web Application Firewall,0.53,
SNS,,"1,000,000 Amazon SNS API Requests per month thereafter",0.00,
SNS,0.00,
Glue,,"1,000,000 requests for AWS Glue Data Catalog request",0.00,
Glue,0.00,

Report for 11/19/2025 to 11/19/2025,
